PassengerId,Age,SibSp,Parch,Fare,Pclass_1,Pclass_2,Pclass_3,Name_Master,Name_Miss,Name_Mr,Name_Mrs,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
16,1.7429266058581694,-0.47454519624983954,-0.4736736092984604,-0.3262666585535892,0,1,0,0,0,0,1,1,0,0,0,1
17,-1.9081361840426954,3.1548090514635256,0.7676298785983874,-0.06199888922968463,0,0,1,1,0,0,0,0,1,0,1,0
18,0.0,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,0,1,0,0,0,1,0,0,1,0,0,1
19,0.08961515382758917,0.4327933656785018,-0.4736736092984604,-0.2859972841804228,0,0,1,0,0,0,1,1,0,0,0,1
20,0.0,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,0,0,1,0,0,0,1,1,0,1,0,0
21,0.36516706249935255,-0.47454519624983954,-0.4736736092984604,-0.12491978668775715,0,1,0,0,0,1,0,0,1,0,0,1
22,0.2962790853314117,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,0,1,0,0,0,1,0,0,1,0,0,1
23,-1.0125924808594644,-0.47454519624983954,-0.4736736092984604,-0.4867562231804066,0,0,1,0,1,0,0,1,0,0,1,0
24,-0.11704877767623337,-0.47454519624983954,-0.4736736092984604,0.06635974158478332,1,0,0,0,0,1,0,0,1,0,0,1
25,-1.4948083210350502,2.2474704895351842,0.7676298785983874,-0.22408312108167944,0,0,1,0,1,0,0,1,0,0,0,1
26,0.571830994003175,0.4327933656785018,5.73284383018578,-0.016444159470040135,0,0,1,0,0,0,1,1,0,0,0,1
27,0.0,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,0,0,1,0,0,1,0,0,1,1,0,0
28,-0.7370405721877009,2.2474704895351842,2.0089333664952354,4.647001076532463,1,0,0,0,0,1,0,0,1,0,0,1
29,0.0,-0.47454519624983954,-0.4736736092984604,-0.48977642625839407,0,0,1,0,1,0,0,1,0,0,1,0
30,0.0,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,0,0,1,0,0,1,0,0,1,0,0,1
31,0.7096069483390568,-0.47454519624983954,-0.4736736092984604,-0.09027201697708476,1,0,0,0,0,0,0,0,1,1,0,0
32,0.0,0.4327933656785018,-0.4736736092984604,2.301728820789,1,0,0,0,0,0,1,1,0,1,0,0
33,0.0,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,0,0,1,0,1,0,0,1,0,0,1,0
34,2.500694354705519,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,0,1,0,0,0,1,0,0,1,0,0,1
35,-0.11704877767623337,0.4327933656785018,-0.4736736092984604,1.0060617003323709,1,0,0,0,0,1,0,0,1,1,0,0
36,0.8473829026749384,0.4327933656785018,-0.4736736092984604,0.39858208016340624,1,0,0,0,0,1,0,0,1,0,0,1
37,0.0,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,0,0,1,0,0,1,0,0,1,1,0,0
38,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,0,1,0,0,1,0,0,1,0,0,1
39,-0.8059285493556418,1.340131927606843,-0.4736736092984604,-0.2859972841804228,0,0,1,0,1,0,0,1,0,0,0,1
40,-1.0814804580274051,0.4327933656785018,-0.4736736092984604,-0.42207354059350805,0,0,1,0,1,0,0,1,0,1,0,0
41,0.7096069483390568,0.4327933656785018,-0.4736736092984604,-0.4576454924460446,0,0,1,0,0,0,1,1,0,0,0,1
42,-0.1859367548441742,0.4327933656785018,-0.4736736092984604,-0.22559322262067316,0,1,0,0,0,0,1,1,0,0,0,1
43,0.0,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,0,0,1,0,0,1,0,0,1,1,0,0
44,-1.8392482068747544,0.4327933656785018,2.0089333664952354,0.18876253192945994,0,1,0,0,1,0,0,1,0,1,0,0
45,-0.7370405721877009,-0.47454519624983954,-0.4736736092984604,-0.48977642625839407,0,0,1,0,1,0,0,1,0,0,1,0
46,0.0,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,0,1,0,0,1,0,0,1,0,0,1
47,0.0,0.4327933656785018,-0.4736736092984604,-0.3363340021468808,0,0,1,0,0,1,0,0,1,0,1,0
48,0.0,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,0,0,1,0,1,0,0,1,0,0,1,0
49,0.0,1.340131927606843,-0.4736736092984604,-0.21191774308354583,0,0,1,0,0,1,0,0,1,1,0,0
50,-0.8059285493556418,0.4327933656785018,-0.4736736092984604,-0.29002422161773944,0,0,1,0,0,0,1,1,0,0,0,1
51,-1.5636962982029912,3.1548090514635256,0.7676298785983874,0.1506737441786005,0,0,1,1,0,0,0,0,1,0,0,1
52,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,-0.4913710934835715,0,0,1,0,0,1,0,0,1,0,0,1
53,1.3295987428505243,0.4327933656785018,-0.4736736092984604,0.8964967865378598,1,0,0,0,0,0,1,1,0,1,0,0
54,-0.04816080050829252,0.4327933656785018,-0.4736736092984604,-0.12491978668775715,0,1,0,0,0,0,1,1,0,0,0,1
55,2.431806377537578,-0.47454519624983954,0.7676298785983874,0.5995101505357573,1,0,0,0,0,1,0,0,1,1,0,0
56,0.0,-0.47454519624983954,-0.4736736092984604,0.06635974158478332,1,0,0,0,0,1,0,0,1,0,0,1
57,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,0,1,0,0,1,0,0,1,0,0,0,1
58,-0.08260478909226295,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,0,0,1,0,0,1,0,0,1,1,0,0
59,-1.7014722525388728,0.4327933656785018,2.0089333664952354,-0.08968408411123653,0,1,0,0,1,0,0,1,0,0,0,1
60,-1.2881443895312277,4.0621476133918675,2.0089333664952354,0.2958951755118318,0,0,1,1,0,0,0,0,1,0,0,1
61,-0.5303766406838785,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,0,0,1,0,0,1,0,0,1,1,0,0
62,0.571830994003175,-0.47454519624983954,-0.4736736092984604,0.962353321387736,1,0,0,0,1,0,0,1,0,0,0,0
63,1.054046834178761,0.4327933656785018,-0.4736736092984604,1.0323213593611125,1,0,0,0,0,1,0,0,1,0,0,1
64,-1.7703602297068137,2.2474704895351842,2.0089333664952354,-0.08666388103324908,0,0,1,1,0,0,0,0,1,0,0,1
65,0.0,-0.47454519624983954,-0.4736736092984604,-0.09027201697708476,1,0,0,0,0,1,0,0,1,1,0,0
66,0.0,0.4327933656785018,0.7676298785983874,-0.3414522396297103,0,0,1,1,0,0,0,0,1,1,0,0
67,-0.04816080050829252,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,0,1,0,0,0,0,1,1,0,0,0,1
68,-0.7370405721877009,-0.47454519624983954,-0.4736736092984604,-0.4841568350646187,0,0,1,0,0,1,0,0,1,0,0,1
69,-0.8748165265235827,3.1548090514635256,2.0089333664952354,-0.4888542575852486,0,0,1,0,1,0,0,1,0,0,0,1
70,-0.25482473201211503,1.340131927606843,-0.4736736092984604,-0.47400492578514347,0,0,1,0,0,1,0,0,1,0,0,1
71,0.15850313099553,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,0,1,0,0,0,1,0,0,1,0,0,1
72,-0.9437045036915235,4.0621476133918675,2.0089333664952354,0.2958951755118318,0,0,1,0,1,0,0,1,0,0,0,1
73,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,0.8314778546749452,0,1,0,0,0,1,0,0,1,0,0,1
74,-0.25482473201211503,0.4327933656785018,-0.4736736092984604,-0.3573908580066095,0,0,1,0,0,1,0,0,1,1,0,0
75,0.15850313099553,-0.47454519624983954,-0.4736736092984604,0.48910360681684706,0,0,1,0,0,1,0,0,1,0,0,1
76,-0.3237127091800559,-0.47454519624983954,-0.4736736092984604,-0.494391296561559,0,0,1,0,0,1,0,0,1,0,0,1
77,0.0,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,0,0,1,0,0,1,0,0,1,0,0,1
78,0.0,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,0,1,0,0,1,0,0,1,0,0,1
79,-1.9887351173291863,-0.47454519624983954,2.0089333664952354,-0.06451572512800753,0,1,0,1,0,0,0,0,1,0,0,1
80,0.020727176659648322,-0.47454519624983954,-0.4736736092984604,-0.397241430886295,0,0,1,0,1,0,0,1,0,0,0,1
81,-0.5303766406838785,-0.47454519624983954,-0.4736736092984604,-0.46720946885967163,0,0,1,0,0,1,0,0,1,0,0,1
82,-0.04816080050829252,-0.47454519624983954,-0.4736736092984604,-0.45714212526638004,0,0,1,0,0,1,0,0,1,0,0,1
83,0.0,-0.47454519624983954,-0.4736736092984604,-0.49162277707340374,0,0,1,0,1,0,0,1,0,0,1,0
84,-0.11704877767623337,-0.47454519624983954,-0.4736736092984604,0.29992211294914856,1,0,0,0,0,1,0,0,1,0,0,1
85,-0.8748165265235827,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,0,1,0,0,1,0,0,1,0,0,0,1
86,0.22739110816347086,2.2474704895351842,-0.4736736092984604,-0.32928686163157667,0,0,1,0,0,0,1,1,0,0,0,1
87,-0.9437045036915235,0.4327933656785018,3.250236854392083,0.04370821849987721,0,0,1,0,0,1,0,0,1,0,0,1
88,0.0,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,0,1,0,0,1,0,0,1,0,0,1
89,-0.4614886635159376,2.2474704895351842,2.0089333664952354,4.647001076532463,1,0,0,0,1,0,0,1,0,0,0,1
90,-0.3926006863479967,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,0,1,0,0,1,0,0,1,0,0,1
91,-0.04816080050829252,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,0,1,0,0,1,0,0,1,0,0,1
92,-0.6681525950197601,-0.47454519624983954,-0.4736736092984604,-0.4902797934380587,0,0,1,0,0,1,0,0,1,0,0,1
93,1.122934811346702,0.4327933656785018,-0.4736736092984604,0.5833178351003071,1,0,0,0,0,1,0,0,1,0,0,1
94,-0.25482473201211503,0.4327933656785018,2.0089333664952354,-0.23415046467497105,0,0,1,0,0,1,0,0,1,0,0,1
95,2.018478514529933,-0.47454519624983954,-0.4736736092984604,-0.5024451714361923,0,0,1,0,0,1,0,0,1,0,0,1
96,0.0,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,0,1,0,0,1,0,0,1,0,0,1
97,2.845134240545223,-0.47454519624983954,-0.4736736092984604,0.0493298231623713,1,0,0,0,0,1,0,0,1,1,0,0
98,-0.4614886635159376,-0.47454519624983954,0.7676298785983874,0.6272778976347743,1,0,0,0,0,1,0,0,1,1,0,0
99,0.2962790853314117,-0.47454519624983954,0.7676298785983874,-0.18532384824750675,0,1,0,0,0,0,1,1,0,0,0,1
100,0.2962790853314117,0.4327933656785018,-0.4736736092984604,-0.12491978668775715,0,1,0,0,0,1,0,0,1,0,0,1
101,-0.11704877767623337,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,0,0,1,0,1,0,0,1,0,0,0,1
102,0.0,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,0,0,1,0,0,1,0,0,1,0,0,1
103,-0.5992646178518193,-0.47454519624983954,0.7676298785983874,0.907737982394129,1,0,0,0,0,1,0,0,1,0,0,1
104,0.22739110816347086,-0.47454519624983954,-0.4736736092984604,-0.4741720436887921,0,0,1,0,0,1,0,0,1,0,0,1
105,0.5029430168352342,1.340131927606843,-0.4736736092984604,-0.4888542575852486,0,0,1,0,0,1,0,0,1,0,0,1
106,-0.11704877767623337,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,0,0,1,0,0,1,0,0,1,0,0,1
107,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,-0.494391296561559,0,0,1,0,1,0,0,1,0,0,0,1
108,0.0,-0.47454519624983954,-0.4736736092984604,-0.4918744606632361,0,0,1,0,0,1,0,0,1,0,0,1
109,0.571830994003175,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,0,0,1,0,0,1,0,0,1,0,0,1
110,0.0,0.4327933656785018,-0.4736736092984604,-0.1621689579829361,0,0,1,0,1,0,0,1,0,0,1,0
111,1.1918227885146426,-0.47454519624983954,-0.4736736092984604,0.39858208016340624,1,0,0,0,0,1,0,0,1,0,0,1
112,-1.0470364694434349,0.4327933656785018,-0.4736736092984604,-0.3573908580066095,0,0,1,0,1,0,0,1,0,1,0,0
113,-0.5303766406838785,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,0,1,0,0,1,0,0,1,0,0,1
114,-0.6681525950197601,0.4327933656785018,-0.4736736092984604,-0.4505983519307405,0,0,1,0,1,0,0,1,0,0,0,1
115,-0.8748165265235827,-0.47454519624983954,-0.4736736092984604,-0.3573083057891445,0,0,1,0,1,0,0,1,0,1,0,0
116,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,0,0,1,0,0,1,0,0,1,0,0,1
117,2.8106902519612524,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,0,0,1,0,0,1,0,0,1,0,1,0
118,-0.04816080050829252,0.4327933656785018,-0.4736736092984604,-0.22559322262067316,0,1,0,0,0,1,0,0,1,0,0,1
119,-0.3926006863479967,-0.47454519624983954,0.7676298785983874,4.335332226633905,1,0,0,0,0,1,0,0,1,1,0,0
120,-1.9081361840426954,3.1548090514635256,2.0089333664952354,-0.01870931177853076,0,0,1,0,1,0,0,1,0,0,0,1
121,-0.5992646178518193,1.340131927606843,-0.4736736092984604,0.8314778546749452,0,1,0,0,0,1,0,0,1,0,0,1
122,0.0,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,0,1,0,0,1,0,0,1,0,0,1
123,0.19294711957950042,0.4327933656785018,-0.4736736092984604,-0.04295550208861426,0,1,0,0,0,1,0,0,1,1,0,0
124,0.19294711957950042,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,0,1,0,0,1,0,0,1,0,0,0,1
125,1.6740386286902287,-0.47454519624983954,0.7676298785983874,0.907737982394129,1,0,0,0,0,1,0,0,1,0,0,1
126,-1.219256412363287,0.4327933656785018,-0.4736736092984604,-0.42207354059350805,0,0,1,1,0,0,0,0,1,1,0,0
127,0.0,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,0,0,1,0,0,1,0,0,1,0,1,0
128,-0.3926006863479967,-0.47454519624983954,-0.4736736092984604,-0.5046257580584992,0,0,1,0,0,1,0,0,1,0,0,1
129,0.0,0.4327933656785018,0.7676298785983874,-0.19824427701513722,0,0,1,0,1,0,0,1,0,1,0,0
130,1.054046834178761,-0.47454519624983954,-0.4736736092984604,-0.5079822104125026,0,0,1,0,0,1,0,0,1,0,0,1
131,0.22739110816347086,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,0,0,1,0,0,1,0,0,1,1,0,0
132,-0.6681525950197601,-0.47454519624983954,-0.4736736092984604,-0.5064721088735089,0,0,1,0,0,1,0,0,1,0,0,1
133,1.1918227885146426,0.4327933656785018,-0.4736736092984604,-0.35646868933346404,0,0,1,0,0,0,1,1,0,0,0,1
134,-0.04816080050829252,0.4327933656785018,-0.4736736092984604,-0.12491978668775715,0,1,0,0,0,0,1,1,0,0,0,1
135,-0.3237127091800559,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,0,1,0,0,0,1,0,0,1,0,0,1
136,-0.4614886635159376,-0.47454519624983954,-0.4736736092984604,-0.3454791770670269,0,1,0,0,0,1,0,0,1,1,0,0
137,-0.7370405721877009,-0.47454519624983954,2.0089333664952354,-0.11921562980779811,1,0,0,0,1,0,0,1,0,0,0,1
138,0.5029430168352342,0.4327933656785018,-0.4736736092984604,0.4207302360686478,1,0,0,0,0,1,0,0,1,0,0,1
139,-0.9437045036915235,-0.47454519624983954,-0.4736736092984604,-0.4628462821463391,0,0,1,0,0,1,0,0,1,0,0,1
140,-0.3926006863479967,-0.47454519624983954,-0.4736736092984604,0.9462455716384695,1,0,0,0,0,1,0,0,1,1,0,0
141,0.0,-0.47454519624983954,2.0089333664952354,-0.3414522396297103,0,0,1,0,0,0,1,1,0,1,0,0
142,-0.5303766406838785,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,0,0,1,0,1,0,0,1,0,0,0,1
143,-0.3926006863479967,0.4327933656785018,-0.4736736092984604,-0.32928686163157667,0,0,1,0,0,0,1,1,0,0,0,1
144,-0.7370405721877009,-0.47454519624983954,-0.4736736092984604,-0.5125125150294839,0,0,1,0,0,1,0,0,1,0,1,0
145,-0.8059285493556418,-0.47454519624983954,-0.4736736092984604,-0.41687275089321363,0,1,0,0,0,1,0,0,1,0,0,1
146,-0.7370405721877009,0.4327933656785018,0.7676298785983874,0.09152810056801232,0,1,0,0,0,1,0,0,1,0,0,1
147,-0.1859367548441742,-0.47454519624983954,-0.4736736092984604,-0.49145565916975514,0,0,1,0,0,1,0,0,1,0,0,1
148,-1.4259203438671093,1.340131927606843,2.0089333664952354,0.04370821849987721,0,0,1,0,1,0,0,1,0,0,0,1
149,0.4684990282512638,-0.47454519624983954,2.0089333664952354,-0.12491978668775715,0,1,0,0,0,1,0,0,1,0,0,1
150,0.8473829026749384,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,0,1,0,0,0,0,0,0,1,0,0,1
151,1.4673746971864061,-0.47454519624983954,-0.4736736092984604,-0.39623469652696586,0,1,0,0,0,0,0,0,1,0,0,1
152,-0.5303766406838785,0.4327933656785018,-0.4736736092984604,0.6925485130875209,1,0,0,0,0,0,1,1,0,0,0,1
153,1.7773705944421399,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,0,1,0,0,1,0,0,1,0,0,1
154,0.7440509369230272,-0.47454519624983954,2.0089333664952354,-0.35646868933346404,0,0,1,0,0,1,0,0,1,0,0,1
155,0.0,-0.47454519624983954,-0.4736736092984604,-0.5011867534870308,0,0,1,0,0,1,0,0,1,0,0,1
156,1.4673746971864061,-0.47454519624983954,0.7676298785983874,0.5874293382238074,1,0,0,0,0,1,0,0,1,1,0,0
157,-0.9437045036915235,-0.47454519624983954,-0.4736736092984604,-0.49271407711891657,0,0,1,0,1,0,0,1,0,0,1,0
158,0.020727176659648322,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,0,1,0,0,1,0,0,1,0,0,1
159,0.0,-0.47454519624983954,-0.4736736092984604,-0.47400492578514347,0,0,1,0,0,1,0,0,1,0,0,1
160,0.0,6.784163299176891,2.0089333664952354,0.7519458402879414,0,0,1,1,0,0,0,0,1,0,0,1
161,0.9851588570108202,-0.47454519624983954,0.7676298785983874,-0.32425318983493084,0,0,1,0,0,1,0,0,1,0,0,1
162,0.7096069483390568,-0.47454519624983954,-0.4736736092984604,-0.331300330350235,0,1,0,0,0,0,1,1,0,0,0,1
163,-0.25482473201211503,-0.47454519624983954,-0.4736736092984604,-0.4918744606632361,0,0,1,0,0,1,0,0,1,0,0,1
164,-0.8748165265235827,-0.47454519624983954,-0.4736736092984604,-0.47400492578514347,0,0,1,0,0,1,0,0,1,0,0,1
165,-1.977024161210636,3.1548090514635256,0.7676298785983874,0.1506737441786005,0,0,1,1,0,0,0,0,1,0,0,1
166,-1.4259203438671093,-0.47454519624983954,2.0089333664952354,-0.2351571990343002,0,0,1,1,0,0,0,0,1,0,0,1
167,0.0,-0.47454519624983954,0.7676298785983874,0.4589861417231558,1,0,0,0,0,0,1,1,0,0,0,1
168,1.054046834178761,0.4327933656785018,4.491540342288931,-0.08666388103324908,0,0,1,0,0,0,1,1,0,0,0,1
169,0.0,-0.47454519624983954,-0.4736736092984604,-0.12642988822675086,1,0,0,0,0,1,0,0,1,0,0,1
170,-0.11704877767623337,-0.47454519624983954,-0.4736736092984604,0.48910360681684706,0,0,1,0,0,1,0,0,1,0,0,1
171,2.1562544688658143,-0.47454519624983954,-0.4736736092984604,0.026090367211616904,1,0,0,0,0,1,0,0,1,0,0,1
172,-1.7703602297068137,3.1548090514635256,0.7676298785983874,-0.06199888922968463,0,0,1,1,0,0,0,0,1,0,1,0
173,-1.977024161210636,0.4327933656785018,0.7676298785983874,-0.4242561406845337,0,0,1,0,1,0,0,1,0,0,0,1
174,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,0,0,1,0,0,1,0,0,1,0,0,1
175,1.8118145830261103,-0.47454519624983954,-0.4736736092984604,-0.030371322596999754,1,0,0,0,0,1,0,0,1,1,0,0
176,-0.8059285493556418,0.4327933656785018,0.7676298785983874,-0.4902797934380587,0,0,1,0,0,1,0,0,1,0,0,1
177,0.0,2.2474704895351842,0.7676298785983874,-0.13565761536436197,0,0,1,1,0,0,0,0,1,0,0,1
178,1.3984867200184652,-0.47454519624983954,-0.4736736092984604,-0.07030444769415023,1,0,0,0,1,0,0,1,0,1,0,0
179,0.020727176659648322,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,0,1,0,0,0,1,0,0,1,0,0,1
180,0.43405503966729336,-0.47454519624983954,-0.4736736092984604,-0.6484216535389205,0,0,1,0,0,1,0,0,1,0,0,1
181,0.0,6.784163299176891,2.0089333664952354,0.7519458402879414,0,0,1,0,1,0,0,1,0,0,0,1
182,0.0,-0.47454519624983954,-0.4736736092984604,-0.34539461138084326,0,1,0,0,0,1,0,0,1,1,0,0
183,-1.4259203438671093,3.1548090514635256,2.0089333664952354,-0.016444159470040135,0,0,1,1,0,0,0,0,1,0,0,1
184,-1.977024161210636,1.340131927606843,0.7676298785983874,0.13683114673782454,0,1,0,1,0,0,0,0,1,0,0,1
185,-1.7703602297068137,-0.47454519624983954,2.0089333664952354,-0.20495516825442542,0,0,1,0,1,0,0,1,0,0,0,1
186,0.0,-0.47454519624983954,-0.4736736092984604,0.3583127057902398,1,0,0,0,0,1,0,0,1,0,0,1
187,0.0,0.4327933656785018,-0.4736736092984604,-0.3363340021468808,0,0,1,0,0,0,1,1,0,0,1,0
188,1.054046834178761,-0.47454519624983954,-0.4736736092984604,-0.11384570873513637,1,0,0,0,0,1,0,0,1,0,0,1
189,0.7096069483390568,0.4327933656785018,0.7676298785983874,-0.3363340021468808,0,0,1,0,0,1,0,0,1,0,1,0
190,0.43405503966729336,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,0,0,1,0,0,1,0,0,1,0,0,1
191,0.15850313099553,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,0,1,0,0,0,0,1,1,0,0,0,1
192,-0.7370405721877009,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,0,1,0,0,0,1,0,0,1,0,0,1
193,-0.7370405721877009,0.4327933656785018,-0.4736736092984604,-0.4902797934380587,0,0,1,0,1,0,0,1,0,0,0,1
194,-1.8392482068747544,0.4327933656785018,0.7676298785983874,-0.12491978668775715,0,1,0,1,0,0,0,0,1,0,0,1
195,0.9851588570108202,-0.47454519624983954,-0.4736736092984604,-0.09027201697708476,1,0,0,0,0,0,1,1,0,1,0,0
196,1.949590537361992,-0.47454519624983954,-0.4736736092984604,2.301728820789,1,0,0,0,1,0,0,1,0,1,0,0
197,0.0,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,0,0,1,0,0,1,0,0,1,0,1,0
198,0.8473829026749384,-0.47454519624983954,0.7676298785983874,-0.47920571548543794,0,0,1,0,0,1,0,0,1,0,0,1
199,0.0,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,0,0,1,0,1,0,0,1,0,0,1,0
200,-0.3926006863479967,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,0,1,0,0,1,0,0,1,0,0,0,1
201,-0.11704877767623337,-0.47454519624983954,-0.4736736092984604,-0.45714212526638004,0,0,1,0,0,1,0,0,1,0,0,1
202,0.0,6.784163299176891,2.0089333664952354,0.7519458402879414,0,0,1,0,0,1,0,0,1,0,0,1
203,0.2962790853314117,-0.47454519624983954,-0.4736736092984604,-0.5176307525123133,0,0,1,0,0,1,0,0,1,0,0,1
204,1.0884908227627315,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,0,0,1,0,0,1,0,0,1,1,0,0
205,-0.8059285493556418,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,0,1,0,0,1,0,0,1,0,0,1
206,-1.9081361840426954,-0.47454519624983954,0.7676298785983874,-0.43776248884929375,0,0,1,0,1,0,0,1,0,0,0,1
207,0.15850313099553,0.4327933656785018,-0.4736736092984604,-0.32928686163157667,0,0,1,0,0,1,0,0,1,0,0,1
208,-0.25482473201211503,-0.47454519624983954,-0.4736736092984604,-0.2701412180209885,0,0,1,0,0,1,0,0,1,1,0,0
209,-0.9437045036915235,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,0,0,1,0,1,0,0,1,0,0,1,0
210,0.7096069483390568,-0.47454519624983954,-0.4736736092984604,-0.024246350754841113,1,0,0,0,0,1,0,0,1,1,0,0
211,-0.3926006863479967,-0.47454519624983954,-0.4736736092984604,-0.5064721088735089,0,0,1,0,0,1,0,0,1,0,0,1
212,0.36516706249935255,-0.47454519624983954,-0.4736736092984604,-0.22559322262067316,0,1,0,0,1,0,0,1,0,0,0,1
213,-0.5303766406838785,-0.47454519624983954,-0.4736736092984604,-0.5024451714361923,0,0,1,0,0,1,0,0,1,0,0,1
214,0.020727176659648322,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,0,1,0,0,0,1,0,0,1,0,0,1
215,0.0,0.4327933656785018,-0.4736736092984604,-0.49237782784290063,0,0,1,0,0,1,0,0,1,0,1,0
216,0.08961515382758917,0.4327933656785018,-0.4736736092984604,1.6323350375212924,1,0,0,0,1,0,0,1,0,1,0,0
217,-0.1859367548441742,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,0,0,1,0,1,0,0,1,0,0,0,1
